,Filename,Row,Columm,StartTime,EndTime,Completed,TotalTime,Memory_Physical_Median,Memory_Virtual_Median,Memory_Physical_Max,Memory_Virtual_Max
0,1595_poker,1025010,10,1686098628.0,1686098827.0,1,199.0,560.0841797,5876.147655999999,590.4265625,5878
1,poker,1025010,10,1686098827.0,1686105354.0,1,6527.0,1686.263672,7014.488281,1978.522656,7228
2,1191_BNG_pbc,1000000,18,1686105359.0,1686105545.0,1,186.0,989.2382813,6087.023438,1001.437109,6099
3,1196_BNG_pharynx,1000000,10,1686105546.0,1686105733.0,1,187.0,949.4492188,5987.839844,1047.985156,6047
4,kddcup,494020,41,1686105736.0,1686107001.0,0,1265.0,250182.20275,640533.4702999999,250780.1066,895570
5,1203_BNG_pwLinear,177147,10,1686107038.0,1686107045.0,1,7.0,,,,
6,1201_BNG_breastTumor,116640,9,1686107045.0,1686107048.0,1,3.0,,,,
7,fars,100968,29,1686107049.0,1686107051.0,1,2.0,,,,
8,mnist,70000,784,1686107055.0,1686107056.0,1,1.0,,,,
9,connect_4,67557,42,1686107056.0,1686107057.0,1,1.0,,,,
10,shuttle,58000,9,1686107058.0,1686107058.0,1,0.0,,,,
11,adult,48842,14,1686107058.0,1686107059.0,1,1.0,,,,
12,215_2dplanes,40768,10,1686107059.0,1686107059.0,1,0.0,,,,
13,344_mv,40768,10,1686107059.0,1686107060.0,1,1.0,,,,
14,564_fried,40768,10,1686107060.0,1686107060.0,1,0.0,,,,
15,1193_BNG_lowbwt,31104,9,1686107060.0,1686107061.0,1,1.0,,,,
16,krkopt,28056,6,1686107061.0,1686107066.0,1,5.0,1303.274219,6823.582422,1303.274219,6823
17,218_house_8L,22784,8,1686107066.0,1686107066.0,1,0.0,,,,
18,574_house_16H,22784,16,1686107066.0,1686107067.0,1,1.0,,,,
19,537_houses,20640,8,1686107067.0,1686107067.0,1,0.0,,,,
20,letter,20000,16,1686107067.0,1686107067.0,1,0.0,,,,
21,magic,19020,10,1686107067.0,1686107067.0,1,0.0,,,,
22,1199_BNG_echoMonths,17496,9,1686107067.0,1686107067.0,1,0.0,,,,
23,201_pol,15000,48,1686107067.0,1686107067.0,1,0.0,,,,
24,nursery,12958,8,1686107067.0,1686107069.0,1,2.0,,,,
25,pendigits,10992,16,1686107069.0,1686107069.0,1,0.0,,,,
26,BNG(anneal_COMMA_nominal_COMMA_1000000)_OpenML,1000000,38,1686276713.0,1686276984.0,1,271.0,34437.72891,47284.86758,67331.27813,85513
